pred_1.pdb pLDDT:83.87 pTMscore:0.8550
pred_2.pdb pLDDT:83.75 pTMscore:0.8577
pred_3.pdb pLDDT:83.69 pTMscore:0.8608
pred_4.pdb pLDDT:83.65 pTMscore:0.8561
pred_5.pdb pLDDT:83.45 pTMscore:0.8603
pred_6.pdb pLDDT:83.26 pTMscore:0.8474
pred_7.pdb pLDDT:83.19 pTMscore:0.8543
pred_8.pdb pLDDT:83.08 pTMscore:0.8499
pred_9.pdb pLDDT:83.04 pTMscore:0.8590
pred_10.pdb pLDDT:82.80 pTMscore:0.8476
pred_11.pdb pLDDT:82.72 pTMscore:0.8516
pred_12.pdb pLDDT:82.66 pTMscore:0.8503
pred_13.pdb pLDDT:82.60 pTMscore:0.8489
pred_14.pdb pLDDT:82.46 pTMscore:0.8481
pred_15.pdb pLDDT:82.39 pTMscore:0.8542
pred_16.pdb pLDDT:82.29 pTMscore:0.8556
pred_17.pdb pLDDT:82.26 pTMscore:0.8519
pred_18.pdb pLDDT:82.21 pTMscore:0.8500
pred_19.pdb pLDDT:82.20 pTMscore:0.8490
pred_20.pdb pLDDT:82.03 pTMscore:0.8463
pred_21.pdb pLDDT:82.03 pTMscore:0.8443
pred_22.pdb pLDDT:82.02 pTMscore:0.8444
pred_23.pdb pLDDT:82.00 pTMscore:0.8473
pred_24.pdb pLDDT:81.98 pTMscore:0.8395
pred_25.pdb pLDDT:81.97 pTMscore:0.8425
pred_26.pdb pLDDT:81.86 pTMscore:0.8410
pred_27.pdb pLDDT:81.86 pTMscore:0.8338
pred_28.pdb pLDDT:81.83 pTMscore:0.8430
pred_29.pdb pLDDT:81.82 pTMscore:0.8478
pred_30.pdb pLDDT:81.81 pTMscore:0.8436
pred_31.pdb pLDDT:81.77 pTMscore:0.8406
pred_32.pdb pLDDT:81.75 pTMscore:0.8460
pred_33.pdb pLDDT:81.74 pTMscore:0.8319
pred_34.pdb pLDDT:81.73 pTMscore:0.8484
pred_35.pdb pLDDT:81.71 pTMscore:0.8499
pred_36.pdb pLDDT:81.65 pTMscore:0.8469
